scenario,year,status,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
high,2030,pre-construction,hydropower,unknown,23332.217,12795.1,18379.75,23120.0,28693.0,33187.1
high,2030,pre-construction,offshore wind,known,27935.384,21361.9,24012.125,27610.0,31540.0,35100.25
high,2030,pre-construction,offshore wind,unknown,55445.1089,15621.6,38665.1,62092.0,73651.55,83034.67
high,2030,pre-construction,onshore wind,known,25136.6366,16267.199999999999,19310.7,26459.300000000003,29501.825,32318.280000000002
high,2030,pre-construction,onshore wind,unknown,24795.3745,3883.78,10678.7,20519.15,35750.225,51267.95
high,2030,pre-construction,utility-scale solar,known,9593.8215,4375.09,5914.775,8228.0,13374.975,17103.840000000004
high,2030,pre-construction,utility-scale solar,unknown,0.1456,0.0,0.0,0.0,0.0,0.0
low,2026,announced,hydropower,known,2.59,0.0,0.0,0.0,0.0,0.0
low,2026,announced,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,announced,offshore wind,known,24.488,0.0,0.0,0.0,0.0,0.0
low,2026,announced,offshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,announced,onshore wind,known,126.55080000000001,0.0,0.0,43.0,142.0,291.1
low,2026,announced,onshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,announced,utility-scale solar,known,1335.2711000000002,442.06,731.375,1152.0500000000002,1735.8000000000002,2509.6000000000004
low,2026,announced,utility-scale solar,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,construction,hydropower,known,1067.401,0.0,109.0,472.0,1803.5,2924.1000000000013
low,2026,construction,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,construction,offshore wind,known,4984.029,2641.7,3706.75,4877.5,6208.75,7474.2
low,2026,construction,offshore wind,unknown,1452.45,0.0,400.0,1051.75,1952.5,3372.5
low,2026,construction,onshore wind,known,40274.756299999994,34673.43,37453.975,40359.850000000006,43022.575000000004,45776.979999999996
low,2026,construction,onshore wind,unknown,29092.6595,18349.03,22349.35,27644.85,33927.950000000004,41578.58
low,2026,construction,utility-scale solar,known,71171.8023,64882.68,68106.825,71125.04999999999,74458.27500000001,77386.01
low,2026,construction,utility-scale solar,unknown,76356.7775,55706.78,63307.25,74600.85,87590.79999999999,99769.25000000001
low,2026,pre-construction,hydropower,known,21.802,0.0,0.0,0.0,0.0,0.0
low,2026,pre-construction,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,pre-construction,offshore wind,known,144.208,0.0,0.0,0.0,285.75,431.0000000000002
low,2026,pre-construction,offshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,pre-construction,onshore wind,known,2650.9942,1007.36,1436.025,2174.45,3408.175,5211.700000000002
low,2026,pre-construction,onshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2026,pre-construction,utility-scale solar,known,12381.2856,8703.83,10224.775,12041.1,14214.2,16457.829999999998
low,2026,pre-construction,utility-scale solar,unknown,0.05,0.0,0.0,0.0,0.0,0.0
low,2027,announced,hydropower,known,25.536,0.0,0.0,0.0,0.0,0.0
