sep=;
state;date;variable;generation_gwh
India Total;2022-08-01;Bioenergy;397.28
India Total;2022-08-01;Clean;45245.53
India Total;2022-08-01;Coal;91253.92
India Total;2022-08-01;Fossil;93230
India Total;2022-08-01;Gas;1967.39
India Total;2022-08-01;Hydro;24925.09
India Total;2022-08-01;Nuclear;3586.77
India Total;2022-08-01;Other Fossil;8.69
India Total;2022-08-01;Other Renewables;213.2
India Total;2022-08-01;Renewables;41658.76
India Total;2022-08-01;Solar;7428.23
India Total;2022-08-01;Wind;8694.96
India Total;2022-08-01;Wind and solar;16123.19
India Total;2022-09-01;Bioenergy;337.11
India Total;2022-09-01;Clean;42358.17
India Total;2022-09-01;Coal;91530.31
India Total;2022-09-01;Fossil;93295.94
India Total;2022-09-01;Gas;1758.94
India Total;2022-09-01;Hydro;23541.91
India Total;2022-09-01;Nuclear;3412.52
India Total;2022-09-01;Other Fossil;6.69
India Total;2022-09-01;Other Renewables;204.41
India Total;2022-09-01;Renewables;38945.65
India Total;2022-09-01;Solar;8207.73
India Total;2022-09-01;Wind;6654.49
India Total;2022-09-01;Wind and solar;14862.22
India Total;2022-10-01;Bioenergy;563.37
India Total;2022-10-01;Clean;34625.36
India Total;2022-10-01;Coal;86569.09
India Total;2022-10-01;Fossil;88185.58
India Total;2022-10-01;Gas;1590.28
India Total;2022-10-01;Hydro;17465.21
India Total;2022-10-01;Nuclear;4219.26
India Total;2022-10-01;Other Fossil;26.21
India Total;2022-10-01;Other Renewables;228.89
India Total;2022-10-01;Renewables;30406.1
India Total;2022-10-01;Solar;8726.83
India Total;2022-10-01;Wind;3421.8
India Total;2022-10-01;Wind and solar;12148.63
India Total;2022-11-01;Bioenergy;1707.84
India Total;2022-11-01;Clean;27137.14
India Total;2022-11-01;Coal;92678.98
India Total;2022-11-01;Fossil;94462.84
India Total;2022-11-01;Gas;1758.85
India Total;2022-11-01;Hydro;10883.34
India Total;2022-11-01;Nuclear;3869.67
India Total;2022-11-01;Other Fossil;25.01
India Total;2022-11-01;Other Renewables;209.91
India Total;2022-11-01;Renewables;23267.47
India Total;2022-11-01;Solar;7976.88
India Total;2022-11-01;Wind;2489.5
India Total;2022-11-01;Wind and solar;10466.38
India Total;2022-12-01;Bioenergy;2423.47
India Total;2022-12-01;Clean;28080.15
India Total;2022-12-01;Coal;101108.66
India Total;2022-12-01;Fossil;102942.25
India Total;2022-12-01;Gas;1806.34
India Total;2022-12-01;Hydro;9341.6
India Total;2022-12-01;Nuclear;3901.58
India Total;2022-12-01;Other Fossil;27.25
India Total;2022-12-01;Other Renewables;209.84
India Total;2022-12-01;Renewables;24178.57
India Total;2022-12-01;Solar;8207.51
India Total;2022-12-01;Wind;3996.15
India Total;2022-12-01;Wind and solar;12203.66
India Total;2023-01-01;Bioenergy;2593.42
India Total;2023-01-01;Clean;29908.22
India Total;2023-01-01;Coal;104483.59
India Total;2023-01-01;Fossil;106393.71
India Total;2023-01-01;Gas;1883.95
India Total;2023-01-01;Hydro;8692.16
India Total;2023-01-01;Nuclear;4118.92
India Total;2023-01-01;Other Fossil;26.17
India Total;2023-01-01;Other Renewables;199.97
India Total;2023-01-01;Renewables;25789.3
India Total;2023-01-01;Solar;9290.01
India Total;2023-01-01;Wind;5013.74
India Total;2023-01-01;Wind and solar;14303.75
India Total;2023-02-01;Bioenergy;2153.17
India Total;2023-02-01;Clean;27723.7
India Total;2023-02-01;Coal;97589.14
India Total;2023-02-01;Fossil;99367.63
India Total;2023-02-01;Gas;1753.56
India Total;2023-02-01;Hydro;8910.78
India Total;2023-02-01;Nuclear;3774.36
India Total;2023-02-01;Other Fossil;24.93
India Total;2023-02-01;Other Renewables;202.99
India Total;2023-02-01;Renewables;23949.34
India Total;2023-02-01;Solar;9555.41
India Total;2023-02-01;Wind;3126.99
India Total;2023-02-01;Wind and solar;12682.4
India Total;2023-03-01;Bioenergy;1971.58
India Total;2023-03-01;Clean;28976.42
India Total;2023-03-01;Coal;106468.49
India Total;2023-03-01;Fossil;108359.66
India Total;2023-03-01;Gas;1862.48
India Total;2023-03-01;Hydro;8342.23
India Total;2023-03-01;Nuclear;4047.79
India Total;2023-03-01;Other Fossil;28.69
