Parameter,State,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Oil & Gas - Generation (in MU),Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear - Generation (in MU),Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Jammu and Kashmir,340.28,511.4,1095.9,1446.01,2027.75,2180.62,2210.97,2100.58,1818.78,895.49,506.86,393.11,335.22,316.37,968.89,1643.86,2012.14,2154.28,2189.92,1853.17,1845.88,1204.08,619.32,410.24
Solar - Generation (in MU),Jammu and Kashmir,,,,,,,,,,,,,7.765042125842737,8.020097522124644,9.253083937605725,10.82385218557699,10.790830822323748,10.280458825797211,9.866427808969744,10.05807515608434,12.0719883865399,11.620682519178176,11.52493256817434,11.962362813867944
Wind - Generation (in MU),Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,
Small-Hydro - Generation (in MU),Jammu and Kashmir,13.3,15.03,33.03,54.22,52.67,48.96,54.38,50.44,40.82,23.14,15.26,11.65,9.56,11.06,23.0,58.54,66.42,57.93,49.17,47.41,35.77,18.15,15.68,15.68
Bio Power - Generation (in MU),Jammu and Kashmir,,,,,,,,,,,,,,,,,,,,,,,,
Coal - Generation (in MU),Jharkhand,3254.32,3005.2,3247.59,3470.81,3637.55,3354.56,3494.94,3178.11,2895.91,3310.16,3163.44,2971.74,3209.51,3039.95,3085.53,2947.91,2917.55,2950.76,3187.59,3276.38,3298.37,3369.2,3453.47,3867.56
Oil & Gas - Generation (in MU),Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear - Generation (in MU),Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Jharkhand,5.3,6.63,5.66,8.38,13.65,7.26,10.26,46.95,65.11,51.98,12.5,11.64,18.03,15.85,7.51,2.57,1.97,14.16,26.06,25.75,26.06,22.7,8.06,3.34
Solar - Generation (in MU),Jharkhand,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,1.47,20.76073729235403,21.3943728303116,24.457487832215776,28.35975611714106,28.277720960959005,27.00980097458816,26.04836794190018,27.056625633172327,33.98645915017722,33.15645282855475,33.619756691346964,34.84000469586203
Wind - Generation (in MU),Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,
